Borough,DE_Total,DI_Total,LM_Total,SA_Total,HA_Total,EN_Total,TR_Total,CH_Total,HE_Total,Result
Barking and Dagenham,0.7469130975902583,0.15214069671171854,-1.0,0.455416737603513,0.9174491297590244,0.0838176091060937,-0.606634522663497,-0.7517292382055565,-0.7904761904761903,-0.7018770262659543
Barnet,0.17513721309117342,0.2772911424851165,-0.1959037378392215,0.8227480279556654,0.6296622930221809,0.19419899026861753,-0.8719320447604527,0.5913632586698649,1.0,0.6254081375207295
Bexley,0.6084552629845092,0.8615984803441711,-0.896979006656426,0.8533696821010692,0.6815135043563872,0.12706110954133668,-0.885651798383042,-0.11426681825513234,0.4285714285714285,0.1758091798787247
Brent,-0.26808220324824217,-0.7649262025404514,-0.623758320532514,0.6282292271448754,0.6390532368288102,-0.4786416133707996,-0.4135912785882395,-0.1781555490805786,0.33333333333333365,-0.226390280434885
Bromley,1.0000000000000002,0.9712341468032587,-0.6258064516129032,0.7643194937364581,0.6499037728239307,1.0000000000000004,-0.8863322180725217,0.6174106963902961,0.7333333333333335,0.7587919742199084
Camden,-0.4956311809359839,0.2198415705861449,0.01689708141321056,0.07026771202113977,0.041580806335083986,-0.4832420732558415,0.7217500772832393,0.08182761319250176,0.4285714285714285,-0.19150769089927314
Croydon,0.5889694249170678,0.5061990559981226,-0.6321556579621095,0.5946077810808882,1.0,0.11813340132122349,-0.6840269466585247,-0.8041435468395837,0.16190476190476197,-0.26767376942150123
Ealing,0.24007363178123664,-0.329446507737116,-0.5027137736815156,0.6815992730246452,0.5453141089536576,-0.15938460163564677,-0.5300454029883199,-0.04042255301280667,0.4285714285714285,-0.004992082511939222
Enfield,0.5549757044462367,0.23801555020280052,-0.6983102918586789,0.6854805734898451,0.7397647428128004,0.4299331585811501,-0.7944634547197313,-0.3725264697443447,0.6571428571428571,0.11778619566372617
Greenwich,0.3751467730297643,0.29894330763981225,-0.8566308243727598,0.588113021676845,0.9062146574747575,0.05698722500682865,-0.5161344156348708,-0.7499293244278404,-0.12380952380952356,-0.3981305447292783
Hackney,0.2303679852168125,0.27628666289505255,-0.5104966717869943,0.4082278011323703,0.4625792772105999,-0.3663207905154631,0.5081158094115936,-0.4100465046388216,-0.466666666666666,-0.49361043030273305
Hammersmith and Fulham,0.09991269123705267,0.15531349384341941,-0.6913466461853558,0.30149134715983394,-0.0471841843454221,-0.5590760930192329,0.3325104955776606,-0.40512168508576457,-0.009523809523809266,-0.5215262657383561
Haringey,-0.2154490532900824,-0.08060517273769253,-0.7495135688684075,0.4997383703587292,0.42669594080587775,-0.1658831848810456,0.014892321257990622,-0.5795337347515325,0.06666666666666664,-0.40698358056806183
Harrow,0.30871304925221965,-0.38963437552706087,-0.6479262672811059,0.9999999999999997,0.5990066418771951,0.25585700187346255,-0.776363829240092,0.4838592830196061,1.0,0.6112977174837587
Havering,0.8226524956411171,0.9999999999999999,-0.8543778801843318,0.700364579013461,0.8375587854604924,0.9902069717262777,-1.0,-0.15209733304352457,0.5238095238095238,0.3378571214923981
